"","Sp1","Plant","Plant_ID","Revision_ID","DateTime","Behaviour","Coexistence","n_cam","Days","Days.in.field","duration","ID","effort_pl_sp","effort_ind","Long","Lat","SpeciesType"
"3239","cervus elaphus","rulm","rulm032","Rev07",2022-07-30 23:44:00,"eating",FALSE,1,"4.598680556",5,"10.249836","Rulm032_Rev07_IMG_0372.AVI",2298.730023284,77.820601853,-6.452219998,36.95978,"Mammal"
"3240","sylvia communis","rulm","rulm012","Rev07",2022-07-31 08:55:28,"probably eating",FALSE,1,"4.535902778",5,"10.499895","Rulm012_Rev07_IMG_0011.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3241","sylvia communis","rulm","rulm014","Rev07",2022-07-31 10:50:22,"eating",FALSE,1,"4.547824074",5,"16.833165","Rulm014_Rev07_IMG_0181.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3242","sylvia communis","rulm","rulm012","Rev07",2022-07-31 11:00:38,"eating",FALSE,1,"4.535902778",5,"16.833165","Rulm012_Rev07_IMG_0014.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3243","sylvia communis","rulm","rulm009","Rev07",2022-07-31 15:26:22,"eating",FALSE,1,"4.514768519",5,"10.249836","Rulm009_Rev07_IMG_0011.AVI",2298.730023284,87.757546296,-6.440439987928,36.987659968436,"Bird"
"3244","sylvia melanocephala","rulm","rulm036","Rev07",2022-07-31 16:06:16,"eating, eating",FALSE,1,"4.516597222",5,"36.999408","Rulm036_Rev07_IMG_0448.AVI, IMG_0448.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Bird"
"3245","hippolais poliglotta","rulm","rulm018","Rev07",2022-07-31 16:39:16,"probably eating",FALSE,1,"4.631944444",5,"10.249836","Rulm018_Rev07_IMG_0061.AVI",2298.730023284,80.707175925,-6.484210034832,36.981359962374,"Bird"
"3246","cervus elaphus","rulm","rulm045","Rev07",2022-07-31 19:16:06,"searching for food, searching for food",FALSE,1,"4.624930556",5,"20.499672","Rulm045_Rev07_IMG_0079.AVI, IMG_0079.AVI",2298.730023284,61.673842594,-6.484169969,36.98140003,"Mammal"
"3247","rattus","rulm","rulm012","Rev07",2022-08-01 05:13:00,"eating",FALSE,1,"4.535902778",5,"21.033123","Rulm012_Rev07_IMG_0015.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3248","apode-mus","rulm","rulm043","Rev07",2022-08-01 06:19:12,"eating, searching for food",FALSE,1,"4.685833333",5,"33.082804","Rulm043_Rev07_IMG_0399.AVI, IMG_0399.AVI",2298.730023284,51.416412037,-6.48222,36.98231,"Mammal"
"3249","cervus elaphus","aspa","aspa014","Rev07",2022-08-01 07:09:00,"eating, eating, eating, eating, eating, eating, eating, eating",FALSE,1,"4.628657407",5,"160.25","Aspa014_Rev07_IMG_0021.MP4, IMG_0022.MP4, IMG_0023.MP4, IMG_0024.MP4, IMG_0026.MP4, IMG_0028.MP4, IMG_0029.MP4, IMG_0030.MP4",1143.625705974,112.141620372,-6.483950028,36.98114002,"Mammal"
"3250","cervus elaphus","aspa","aspa014","Rev07",2022-08-01 07:12:40,"eating, eating, eating",FALSE,1,"4.628657407",5,"60","Aspa014_Rev07_IMG_0031.MP4, IMG_0032.MP4, IMG_0033.MP4",1143.625705974,112.141620372,-6.483950028,36.98114002,"Mammal"
"3251","sylvia melanocephala","rulm","rulm001","Rev07",2022-08-01 07:46:02,"searching for food",FALSE,1,"4.598078704",5,"10.249836","Rulm001_Rev07_IMG_0009.AVI",2298.730023284,99.510601853,-6.452510012314,36.960070012137,"Bird"
"3252","sylvia communis","rulm","rulm014","Rev07",2022-08-01 09:41:46,"eating",FALSE,1,"4.547824074",5,"19.966467","Rulm014_Rev07_IMG_0275.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3253","hippolais poliglotta","rulm","rulm014","Rev07",2022-08-01 09:43:18,"eating",FALSE,1,"4.547824074",5,"16.833165","Rulm014_Rev07_IMG_0276.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3254","sylvia melanocephala","rulm","rulm014","Rev07",2022-08-01 10:51:40,"eating",FALSE,1,"4.547824074",5,"10.533228","Rulm014_Rev07_IMG_0277.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3255","sylvia communis","rulm","rulm014","Rev07",2022-08-01 12:24:26,"eating",FALSE,1,"4.547824074",5,"16.833165","Rulm014_Rev07_IMG_0281.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3256","sylvia melanocephala","rulm","rulm014","Rev07",2022-08-01 14:20:20,"eating",FALSE,1,"4.547824074",5,"17.866488","Rulm014_Rev07_IMG_0292.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3257","sylvia melanocephala","rulm","rulm036","Rev07",2022-08-01 17:22:06,"searching for food",FALSE,1,"4.516597222",5,"10.458166","Rulm036_Rev07_IMG_0556.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Bird"
"3258","sylvia melanocephala","rulm","rulm036","Rev07",2022-08-01 17:22:58,"eating",FALSE,1,"4.516597222",5,"32.749476","Rulm036_Rev07_IMG_0557.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Bird"
"3259","cervus elaphus","rulm","rulm045","Rev07",2022-08-01 19:33:32,"probably eating, eating, eating",FALSE,1,"4.624930556",5,"36.957742","Rulm045_Rev07_IMG_0085.AVI, IMG_0086.AVI, IMG_0087.AVI",2298.730023284,61.673842594,-6.484169969,36.98140003,"Mammal"
"3260","sylvia melanocephala","rulm","rulm014","Rev07",2022-08-01 19:36:02,"probably eating",FALSE,1,"4.547824074",5,"10.466562","Rulm014_Rev07_IMG_0413.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3261","rattus","rulm","rulm015","Rev07",2022-08-01 23:15:42,"probably eating",FALSE,1,"4.566481481",5,"20.541338","Rulm015_Rev07_IMG_0181.AVI",2298.730023284,122.363703703,-6.442690026015,36.992230033502,"Mammal"
"3262","rattus","rulm","rulm012","Rev07",2022-08-02 00:54:06,"eating",FALSE,1,"4.535902778",5,"18.799812","Rulm012_Rev07_IMG_0018.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3263","rattus","rulm","rulm012","Rev07",2022-08-02 00:59:40,"probably eating, eating, eating",FALSE,1,"4.535902778",5,"56.732766","Rulm012_Rev07_IMG_0020.AVI, IMG_0021.AVI, IMG_0022.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3264","rattus","rulm","rulm012","Rev07",2022-08-02 01:02:32,"eating, eating, eating, probably eating, eating, eating",FALSE,1,"4.535902778",5,"81.699183","Rulm012_Rev07_IMG_0023.AVI, IMG_0024.AVI, IMG_0025.AVI, IMG_0026.AVI, IMG_0029.AVI, IMG_0030.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3265","rattus","rulm","rulm012","Rev07",2022-08-02 05:06:08,"probably eating",FALSE,1,"4.535902778",5,"19.933134","Rulm012_Rev07_IMG_0031.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3266","rattus","rulm","rulm012","Rev07",2022-08-02 05:56:08,"eating",FALSE,1,"4.535902778",5,"20.833125","Rulm012_Rev07_IMG_0032.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3267","rattus","rulm","rulm012","Rev07",2022-08-02 06:13:40,"searching for food",FALSE,1,"4.535902778",5,"10.499895","Rulm012_Rev07_IMG_0033.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3268","cervus elaphus","rulm","rulm009","Rev07",2022-08-02 07:59:08,"eating",FALSE,1,"4.514768519",5,"16.6664","Rulm009_Rev07_IMG_0014.AVI",2298.730023284,87.757546296,-6.440439987928,36.987659968436,"Mammal"
"3269","sylvia melanocephala","rulm","rulm012","Rev07",2022-08-02 09:20:42,"searching for food",FALSE,1,"4.535902778",5,"16.833165","Rulm012_Rev07_IMG_0034.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3270","saxicola rubicola","rulm","rulm014","Rev08",2022-08-02 11:19:10,"eating",FALSE,1,"4.300972222",9,"17.866488","Rulm014_Rev08_IMG_0003.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3271","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-02 13:03:32,"eating",FALSE,1,"4.300972222",9,"31.566351","Rulm014_Rev08_IMG_0004.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3272","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-02 14:01:34,"eating",FALSE,1,"4.300972222",9,"34.632987","Rulm014_Rev08_IMG_0006.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3273","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-02 14:14:40,"probably eating",FALSE,1,"4.300972222",9,"16.799832","Rulm014_Rev08_IMG_0012.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3274","sylvia communis","rulm","rulm014","Rev08",2022-08-02 15:10:18,"eating",FALSE,1,"4.300972222",9,"24.133092","Rulm014_Rev08_IMG_0020.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3275","sylvia melanocephala","rulm","rulm027","Rev08",2022-08-02 15:46:44,"probably eating",FALSE,1,"0.177037037",9,"16.291406","Rulm027_Rev08_IMG_0198.AVI",2298.730023284,70.876874999,-6.482319999486,36.981770005077,"Bird"
"3276","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-02 15:49:08,"eating, probably eating",FALSE,1,"4.300972222",9,"36.799632","Rulm014_Rev08_IMG_0029.AVI, IMG_0030.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3277","hippolais poliglotta","rulm","rulm026","Rev08",2022-08-02 15:58:40,"eating",FALSE,1,"0.34025463",9,"10.333168","Rulm026_Rev08_IMG_0064.AVI",2298.730023284,90.492824074,-6.48225998506,36.981660034508,"Bird"
"3278","sylvia communis","rulm","rulm026","Rev08",2022-08-02 15:58:28,"eating",FALSE,1,"0.34025463",9,"10.333168","Rulm026_Rev08_IMG_0064.AVI",2298.730023284,90.492824074,-6.48225998506,36.981660034508,"Bird"
"3279","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-02 16:06:28,"eating",FALSE,1,"4.300972222",9,"10.466562","Rulm014_Rev08_IMG_0036.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3280","sturnus unicolor","rulm","rulm015","Rev08",2022-08-02 16:34:22,"eating",FALSE,1,"8.906458333",9,"16.499736","Rulm015_Rev08_IMG_0002.AVI",2298.730023284,122.363703703,-6.442690026015,36.992230033502,"Bird"
"3281","sylvia melanocephala","rulm","rulm036","Rev08",2022-08-02 18:56:52,"eating",FALSE,1,"7.998819444",9,"10.249836","Rulm036_Rev08_IMG_0003.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Bird"
"3282","sturnus unicolor","rulm","rulm015","Rev08",2022-08-02 19:23:28,"eating, eating, eating, probably eating",FALSE,1,"8.906458333",9,"57.457414","Rulm015_Rev08_IMG_0018.AVI, IMG_0019.AVI, IMG_0020.AVI, IMG_0019.AVI",2298.730023284,122.363703703,-6.442690026015,36.992230033502,"Bird"
"3283","sylvia communis","rulm","rulm046","Rev08",2022-08-03 08:14:34,"eating",FALSE,1,"1.154953704",9,"10.083172","Rulm046_Rev08_IMG_0261.AVI",2298.730023284,39.605925949,-6.483859001,36.98106199,"Bird"
"3284","sylvia communis","rulm","rulm012","Rev08",2022-08-03 08:36:08,"eating",FALSE,1,"8.317384259",9,"10.499895","Rulm012_Rev08_IMG_0002.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3285","sylvia melanocephala","rulm","rulm046","Rev08",2022-08-03 08:55:34,"eating",FALSE,1,"1.154953704",9,"16.416404","Rulm046_Rev08_IMG_0262.AVI",2298.730023284,39.605925949,-6.483859001,36.98106199,"Bird"
"3286","sylvia melanocephala","rulm","rulm012","Rev08",2022-08-03 09:17:24,"searching for food",FALSE,1,"8.317384259",9,"10.533228","Rulm012_Rev08_IMG_0004.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3287","sylvia melanocephala","rulm","rulm012","Rev08",2022-08-03 09:17:34,"probably eating",FALSE,1,"8.317384259",9,"10.533228","Rulm012_Rev08_IMG_0004.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3288","hippolais poliglotta","rulm","rulm018","Rev08",2022-08-03 09:39:16,"probably eating",FALSE,1,"8.902199074",9,"10.166504","Rulm018_Rev08_IMG_0005.AVI",2298.730023284,80.707175925,-6.484210034832,36.981359962374,"Bird"
"3289","sylvia communis","rulm","rulm018","Rev08",2022-08-03 09:39:06,"searching for food",FALSE,1,"8.902199074",9,"10.166504","Rulm018_Rev08_IMG_0005.AVI",2298.730023284,80.707175925,-6.484210034832,36.981359962374,"Bird"
"3290","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-03 11:46:40,"eating, eating, eating, eating",FALSE,1,"4.300972222",9,"54.532788","Rulm014_Rev08_IMG_0100.AVI, IMG_0101.AVI, IMG_0100.AVI, IMG_0101.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3291","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-03 12:16:12,"eating, probably eating, probably eating",FALSE,1,"4.300972222",9,"31.566351","Rulm014_Rev08_IMG_0102.AVI, IMG_0103.AVI, IMG_0103.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3292","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-03 12:23:38,"eating, eating, probably eating",FALSE,1,"4.300972222",9,"31.499685","Rulm014_Rev08_IMG_0104.AVI, IMG_0104.AVI, IMG_0105.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3293","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-03 13:36:10,"eating, eating",FALSE,1,"4.300972222",9,"27.366393","Rulm014_Rev08_IMG_0107.AVI, IMG_0108.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3294","sylvia communis","rulm","rulm001","Rev08",2022-08-03 14:10:56,"searching for food",FALSE,1,"7.811805556",9,"10.249836","Rulm001_Rev08_IMG_0001.AVI",2298.730023284,99.510601853,-6.452510012314,36.960070012137,"Bird"
"3295","cervus elaphus","rulm","rulm036","Rev08",2022-08-03 14:14:18,"eating",FALSE,1,"7.998819444",9,"10.249836","Rulm036_Rev08_IMG_0004.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Mammal"
"3296","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-03 15:07:00,"probably eating, eating",FALSE,1,"4.300972222",9,"21.033123","Rulm014_Rev08_IMG_0136.AVI, IMG_0137.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3297","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-03 15:07:36,"probably eating",FALSE,1,"4.300972222",9,"10.566561","Rulm014_Rev08_IMG_0138.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3298","cervus elaphus","rulm","rulm009","Rev08",2022-08-03 16:18:08,"eating, eating, probably eating",FALSE,1,"7.776481481",9,"248.287694","Rulm009_Rev08_IMG_0001.AVI, IMG_0002.AVI, IMG_0003.AVI",2298.730023284,87.757546296,-6.440439987928,36.987659968436,"Mammal"
"3299","sylvia communis","rulm","rulm001","Rev08",2022-08-03 16:28:06,"eating",FALSE,1,"7.811805556",9,"16.24974","Rulm001_Rev08_IMG_0003.AVI",2298.730023284,99.510601853,-6.452510012314,36.960070012137,"Bird"
"3300","sylvia conspicillata","rulm","rulm001","Rev08",2022-08-03 16:27:48,"eating",FALSE,1,"7.811805556",9,"16.24974","Rulm001_Rev08_IMG_0003.AVI",2298.730023284,99.510601853,-6.452510012314,36.960070012137,"Bird"
"3301","chloris chloris","rulm","rulm043","Rev08",2022-08-03 18:38:42,"eating, eating, eating, eating, eating",FALSE,1,"5.030439815",9,"90.581884","Rulm043_Rev08_IMG_0177.AVI, IMG_0178.AVI, IMG_0179.AVI, IMG_0180.AVI, IMG_0181.AVI",2298.730023284,51.416412037,-6.48222,36.98231,"Bird"
"3302","apode-mus","rulm","rulm022","Rev08",2022-08-04 00:16:04,"searching for food",FALSE,1,"8.964837963",9,"10.333168","Rulm022_Rev08_IMG_0031.AVI",2298.730023284,54.326550926,-6.483769984916,36.980629982427,"Mammal"
"3303","apode-mus","rulm","rulm012","Rev08",2022-08-04 05:38:52,"probably eating, searching for food",FALSE,1,"8.317384259",9,"20.933124","Rulm012_Rev08_IMG_0008.AVI, IMG_0008.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3304","apode-mus","rulm","rulm012","Rev08",2022-08-04 05:45:52,"eating, searching for food",FALSE,1,"8.317384259",9,"42.132912","Rulm012_Rev08_IMG_0011.AVI, IMG_0011.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3305","apode-mus","rulm","rulm012","Rev08",2022-08-04 05:52:18,"eating, searching for food",FALSE,1,"8.317384259",9,"41.799582","Rulm012_Rev08_IMG_0013.AVI, IMG_0013.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3306","apode-mus","rulm","rulm012","Rev08",2022-08-04 05:54:28,"eating, probably eating",FALSE,1,"8.317384259",9,"20.99979","Rulm012_Rev08_IMG_0014.AVI, IMG_0014.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3307","apode-mus","rulm","rulm012","Rev08",2022-08-04 06:09:32,"eating, eating",FALSE,1,"8.317384259",9,"33.466332","Rulm012_Rev08_IMG_0018.AVI, IMG_0018.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3308","sylvia melanocephala","rulm","rulm045","Rev08",2022-08-04 08:30:54,"probably eating, searching for food",FALSE,1,"8.986365741",9,"20.583004","Rulm045_Rev08_IMG_0029.AVI, IMG_0029.AVI",2298.730023284,61.673842594,-6.484169969,36.98140003,"Bird"
"3309","sturnus unicolor","rulm","rulm014","Rev08",2022-08-04 09:08:56,"eating, probably eating",FALSE,1,"4.300972222",9,"39.866268","Rulm014_Rev08_IMG_0209.AVI, IMG_0210.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3310","sylvia communis","rulm","rulm014","Rev08",2022-08-04 14:50:46,"eating",FALSE,1,"4.300972222",9,"10.533228","Rulm014_Rev08_IMG_0250.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3311","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-04 14:50:56,"eating",FALSE,1,"4.300972222",9,"10.533228","Rulm014_Rev08_IMG_0250.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3312","sylvia communis","rulm","rulm036","Rev08",2022-08-04 19:43:26,"searching for food",FALSE,1,"7.998819444",9,"10.333168","Rulm036_Rev08_IMG_0013.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Bird"
"3313","apode-mus","rulm","rulm022","Rev08",2022-08-04 22:10:32,"probably eating, probably eating",FALSE,1,"8.964837963",9,"41.499336","Rulm022_Rev08_IMG_0136.AVI, IMG_0136.AVI",2298.730023284,54.326550926,-6.483769984916,36.980629982427,"Mammal"
"3314","apode-mus","rulm","rulm043","Rev08",2022-08-05 04:28:34,"eating, eating",FALSE,1,"5.030439815",9,"20.666336","Rulm043_Rev08_IMG_0208.AVI, IMG_0208.AVI",2298.730023284,51.416412037,-6.48222,36.98231,"Mammal"
"3315","apode-mus","rulm","rulm012","Rev08",2022-08-05 05:22:22,"searching for food",FALSE,1,"8.317384259",9,"10.233231","Rulm012_Rev08_IMG_0021.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3316","apode-mus","rulm","rulm012","Rev08",2022-08-05 05:22:32,"eating",FALSE,1,"8.317384259",9,"10.233231","Rulm012_Rev08_IMG_0021.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3317","apode-mus","rulm","rulm012","Rev08",2022-08-05 06:00:28,"eating, eating",FALSE,1,"8.317384259",9,"33.333","Rulm012_Rev08_IMG_0027.AVI, IMG_0027.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3318","apode-mus","rulm","rulm012","Rev08",2022-08-05 06:04:58,"eating, eating, eating, eating",FALSE,1,"8.317384259",9,"62.799372","Rulm012_Rev08_IMG_0028.AVI, IMG_0029.AVI, IMG_0028.AVI, IMG_0029.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3319","sylvia communis","rulm","rulm012","Rev08",2022-08-05 10:01:40,"eating",FALSE,1,"8.317384259",9,"10.499895","Rulm012_Rev08_IMG_0030.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3320","sylvia communis","rulm","rulm005","Rev08",2022-08-05 10:24:14,"eating",FALSE,1,"5.292037037",9,"10.249836","Rulm005_Rev08_IMG_0417.AVI",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"3321","rattus","rulm","rulm015","Rev08",2022-08-05 21:58:24,"probably eating, probably eating",FALSE,1,"8.906458333",9,"20.583004","Rulm015_Rev08_IMG_0107.AVI, IMG_0107.AVI",2298.730023284,122.363703703,-6.442690026015,36.992230033502,"Mammal"
"3322","apode-mus","rulm","rulm012","Rev08",2022-08-06 00:02:26,"eating",FALSE,1,"8.317384259",9,"10.466562","Rulm012_Rev08_IMG_0033.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3323","apode-mus","rulm","rulm012","Rev08",2022-08-06 00:02:38,"eating",FALSE,1,"8.317384259",9,"10.466562","Rulm012_Rev08_IMG_0033.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3324","apode-mus","rulm","rulm043","Rev08",2022-08-06 05:12:52,"searching for food",FALSE,1,"5.030439815",9,"10.124838","Rulm043_Rev08_IMG_0317.AVI",2298.730023284,51.416412037,-6.48222,36.98231,"Mammal"
"3325","sylvia melanocephala","rulm","rulm012","Rev08",2022-08-06 10:25:06,"searching for food",FALSE,1,"8.317384259",9,"10.533228","Rulm012_Rev08_IMG_0034.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Bird"
"3326","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-06 13:43:56,"eating, eating",FALSE,1,"4.300972222",9,"31.566351","Rulm014_Rev08_IMG_0409.AVI, IMG_0410.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3327","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-06 14:02:22,"eating",FALSE,1,"4.300972222",9,"16.766499","Rulm014_Rev08_IMG_0413.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3328","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-06 14:02:40,"eating",FALSE,1,"4.300972222",9,"10.533228","Rulm014_Rev08_IMG_0414.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3329","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-06 14:25:32,"eating, eating",FALSE,1,"4.300972222",9,"21.066456","Rulm014_Rev08_IMG_0418.AVI, IMG_0418.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3330","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-06 14:28:36,"probably eating, probably eating",FALSE,1,"4.300972222",9,"35.732976","Rulm014_Rev08_IMG_0420.AVI, IMG_0420.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3331","sylvia melanocephala","rulm","rulm014","Rev08",2022-08-06 14:42:38,"eating",FALSE,1,"4.300972222",9,"25.233081","Rulm014_Rev08_IMG_0424.AVI",2298.730023284,93.834791667,-6.442530015484,36.990809971467,"Bird"
"3332","apode-mus","rulm","rulm012","Rev08",2022-08-07 01:53:38,"eating, eating, eating, eating, eating",FALSE,1,"8.317384259",9,"73.465932","Rulm012_Rev08_IMG_0037.AVI, IMG_0038.AVI, IMG_0037.AVI, IMG_0038.AVI, IMG_0039.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3333","rattus","rulm","rulm012","Rev08",2022-08-07 01:54:20,"eating",FALSE,1,"8.317384259",9,"10.466562","Rulm012_Rev08_IMG_0039.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3334","apode-mus","rulm","rulm012","Rev08",2022-08-07 05:02:10,"eating, searching for food",FALSE,1,"8.317384259",9,"20.99979","Rulm012_Rev08_IMG_0041.AVI, IMG_0041.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
"3335","cervus elaphus","rulm","rulm008","Rev08",2022-08-07 07:58:12,"probably eating, probably eating, probably eating",FALSE,1,"7.385347222",9,"30.124518","Rulm008_Rev08_IMG_0445.AVI, IMG_0446.AVI, IMG_0445.AVI",2298.730023284,70.616944445,-6.440239995718,36.987649993971,"Mammal"
"3336","cervus elaphus","rulm","rulm043","Rev08",2022-08-07 08:56:08,"eating",FALSE,1,"5.030439815",9,"10.333168","Rulm043_Rev08_IMG_0480.AVI",2298.730023284,51.416412037,-6.48222,36.98231,"Mammal"
"3337","hippolais poliglotta","rulm","rulm047","Rev08",2022-08-07 11:18:12,"probably eating",FALSE,1,"8.047939815",9,"10.249836","Rulm047_Rev08_IMG_0008.AVI",2298.730023284,55.695925926,-6.484169969,36.98134596,"Bird"
"3338","hippolais poliglotta","rulm","rulm032","Rev08",2022-08-07 14:58:52,"searching for food",FALSE,1,"8.752893519",9,"25.916252","Rulm032_Rev08_IMG_0066.AVI",2298.730023284,77.820601853,-6.452219998,36.95978,"Bird"
"3339","sylvia melanocephala","rulm","rulm018","Rev08",2022-08-07 15:51:54,"probably eating",FALSE,1,"8.902199074",9,"10.249836","Rulm018_Rev08_IMG_0052.AVI",2298.730023284,80.707175925,-6.484210034832,36.981359962374,"Bird"
"3340","parus major","rulm","rulm015","Rev08",2022-08-07 16:12:22,"probably eating",FALSE,1,"8.906458333",9,"17.249724","Rulm015_Rev08_IMG_0157.AVI",2298.730023284,122.363703703,-6.442690026015,36.992230033502,"Bird"
"3341","sylvia communis","rulm","rulm005","Rev08",2022-08-07 16:22:36,"probably eating",FALSE,1,"5.292037037",9,"10.249836","Rulm005_Rev08_IMG_0536.AVI",2298.730023284,111.861435186,-6.452029980719,36.960089961067,"Bird"
"3342","sylvia melanocephala","rulm","rulm036","Rev08",2022-08-07 16:54:32,"eating",FALSE,1,"7.998819444",9,"17.208058","Rulm036_Rev08_IMG_0034.AVI",2298.730023284,48.440324074,-6.440420039,36.98771001,"Bird"
"3343","sturnus unicolor","rulm","rulm047","Rev08",2022-08-07 18:21:10,"eating, probably eating, probably eating",FALSE,1,"8.047939815",9,"30.791174","Rulm047_Rev08_IMG_0013.AVI, IMG_0014.AVI, IMG_0014.AVI",2298.730023284,55.695925926,-6.484169969,36.98134596,"Bird"
"3344","apode-mus","rulm","rulm012","Rev08",2022-08-08 06:02:20,"searching for food",FALSE,1,"8.317384259",9,"16.833165","Rulm012_Rev08_IMG_0048.AVI",2298.730023284,117.488587963,-6.44174002111,36.989489989355,"Mammal"
